win,diffr,diffc
0,.0383333,-226.7959
1,-.0383333,226.7959
0,-.0833333,136.5929
1,.0833333,-136.5929
0,-.045,-389.1612
1,.045,389.1612
0,.0383333,-556.6808
1,-.0383333,556.6808
0,.0383333,-551.5264
1,-.0383333,551.5264
0,.0383333,-566.8356
1,-.0383333,566.8356
0,.0383333,-162.3652
1,-.0383333,162.3652
0,.0383333,-162.3652
1,-.0383333,162.3652
0,.0383333,-162.3652
1,-.0383333,162.3652
0,.0383333,-226.7959
1,-.0383333,226.7959
0,.0383333,-226.7959
1,-.0383333,226.7959
0,.0383333,-561.8353
1,-.0383333,561.8353
0,.0383333,-226.7959
1,-.0383333,226.7959
0,.0383333,-162.3652
1,-.0383333,162.3652
0,0,-1475.319
1,0,1475.319
0,0,-494.3345
1,0,494.3345
0,0,-494.3345
1,0,494.3345
0,0,-1085.999
1,0,1085.999
0,0,-2874.615
1,0,2874.615
0,-.045,-140.6292
1,.045,140.6292
0,-.0833334,-393.9653
1,.0833334,393.9653
0,-.05,-635.4219
1,.05,635.4219
0,-.04,-174.2403
1,.04,174.2403
0,0,-2821.07
1,0,2821.07
0,0,-53.33881
1,0,53.33881
0,.005,-246.2404
1,-.005,246.2404
