win,dcn,drn,diffc,diffr,lndiffc,index,n,cash,roy,oroy,ocash
0,.028,.712,-1397.152,.02,-1.836377,.842,151,264.9249,.22,.2,1662.077
1,.972,.266,1397.152,-.02,1.836377,.842,151,1662.077,.2,.22,264.9249
0,.008,.636,-1531.125,.01,-2.540996,.842,152,130.9515,.21,.2,1662.077
1,.99,.346,1531.125,-.01,2.540996,.842,152,1662.077,.2,.21,130.9515
0,.37,.4,-32.45589,-.0033,-.2248812,.416,153,128.7043,.1667,.17,161.1602
1,.628,.6,32.45589,.0033,.2248812,.416,153,161.1602,.17,.1667,128.7043
0,.138,.294,-881.7479,-.015,-.8530396,.526,154,654.7134,.2,.215,1536.461
1,.86,.698,881.7479,.015,.8530396,.526,154,1536.461,.215,.2,654.7134
0,.188,.174,-144.037,-.0375,-.6695375,.298,155,151.0877,.15,.1875,295.1247
1,.812,.824,144.037,.0375,.6695375,.298,155,295.1247,.1875,.15,151.0877
0,.296,.064,-50.36484,-.0625,-.3810371,.264,156,108.5913,.125,.1875,158.9561
